#,Video Title,Status,Editor(s),Frame.io Link,Version #,Trello Card,Last Activity
1,"""Is that Destroy Lonely???""",POSTED - MAIN,Thomas Sabin,https://f.io/p7X6sg9d,,https://trello.com/c/v74m2yRu,2026-05-22
2,"""Sorry I have plans""",POSTED - MAIN,Jhully Maria,https://f.io/5jWhvfm4,,https://trello.com/c/1h9REmT9,2026-05-22
3,"""This is what hard feels like""",POSTED - MAIN,Jhully Maria,https://f.io/wYaDKNu3,,https://trello.com/c/GLvAy67d,2026-05-26
4,"""Your switch is close""",POSTED - MAIN,Jhully Maria,https://f.io/RtZjvI1c,,https://trello.com/c/PqFsHRR0,2026-05-22
5,A2 - I've replaced about 50% of my workforce. About like 40 grand a month with AI,POSTED - MAIN,Thomas Sabin,https://f.io/YbWwPopE,,https://trello.com/c/6YHDA8b7,2026-05-21
6,"A4 - If you don't start a business yourself in the next three months, like, actually hang it up",POSTED - MAIN,Thomas Sabin,https://f.io/nDAaRJdH,,https://trello.com/c/KvhVGg5v,2026-05-21
7,"A4 - Walking is so low ROI. It's insane how long, right, walking is",POSTED - MAIN,Thomas Sabin,https://f.io/g-affIxN,,https://trello.com/c/lYgBcMsP,2026-05-16
8,"B1 - I love my job, bro. Like, there's no way I do this shit all day and I get paid",POSTED - MAIN,Thomas Sabin,https://f.io/yHHPo4x4,,https://trello.com/c/befF9eZF,2026-05-21
9,Building a Billion Dollar business,POSTED - MAIN,Thomas Sabin,https://f.io/kK4y7BWL,,https://trello.com/c/g0pID0L6,2026-05-14
10,C2 - This guy is so tall,POSTED - MAIN,Ogunsina Abdullah,https://f.io/DQnF4Xcz,v1,https://trello.com/c/U6jrl5Ak,2026-05-26
,,,,https://f.io/NaskS2Z2,v2,,
11,Fan crashes a BMW M4,POSTED - MAIN,Thomas Sabin,https://f.io/w9U-SKd0,,https://trello.com/c/OObYc3am,2026-05-22
12,Hype Video #1 — Tonight's Late Drop,POSTED - MAIN,Thomas Sabin,https://f.io/tjNhVAk0,v1,https://trello.com/c/sNMl9Yps,2026-05-22
,,,,https://f.io/9g-U7Jd1,v2,,
13,Hype Video #2 — Tomorrow AM Pre-Vlog,POSTED - MAIN,Sahan,https://f.io/LVA-48tW,v1,https://trello.com/c/XVSyHqA8,2026-05-22
,,,,https://f.io/HJbwa01n,v2,,
14,I forgot what traffic felt like...,POSTED - MAIN,Thomas Sabin,https://f.io/VHnJvvYT,,https://trello.com/c/1eLBekO9,2026-05-22
15,Kids try to race Sam Zia,POSTED - MAIN,Thomas Sabin,https://f.io/63LBjHQE,,https://trello.com/c/1K4rsplo,2026-05-15
16,Origin story — washing cars,POSTED - MAIN,Thomas Sabin,https://f.io/C8x-mFRr,,https://trello.com/c/KCA41ioG,2026-05-21
